artist_name,total_artist_plays,artist_song_count
!!!,45,2
"""Weird Al"" Yankovic",6549,5
'Til Tuesday,76,1
*NSYNC,574,2
+44,244,3
...And You Will Know Us by the Trail of Dead,5858,23
.38 Special,4470,1
10 Ft. Ganja Plant,100,2
10 Years,2014,3
10cc,2934,6
112,8,1
12 Stones,996,3
1200 Micrograms,4383,11
12th Planet,28,1
1349,616,9
13th Floor Elevators,28,1
16 Horsepower,1617,7
1990s,3,1
2 Chainz,56,3
2 Foot Yard,6,1
2 Live Crew,1818,1
2 Unlimited,4299,1
2002,466,6
21 Hertz,68,1
21 Savage,8,1
22-20s,524,2
2562,1793,7
2Pac,1990,8
2raumwohnung,582,6
3 Doors Down,10114,14
3 Inches of Blood,74,2
30 Seconds to Mars,29,2
311,14186,21
32 Leaves,43,1
36 Crazyfists,2404,13
3OH!3,123,3
4 Non Blondes,670,3
4 Strings,52,1
4hero,9713,7
5 Seconds of Summer,1,1
50 Cent,6265,4
65daysofstatic,9946,38
7 Year Bitch,281,2
702,1181,1
7Ray,8,1
808 State,40,2
80KIDZ,200,1
88 Fingers Louie,30,1
9 Lazy 9,464,8
9mm Parabellum Bullet,162,10
::M∆DE::IN::HEIGHTS::,558,1
:Wumpscut:,1446,7
A Boogie Wit da Hoodie,15,1
A Change of Pace,127,2
A Day to Remember,126040,25
A Different Breed Of Killer,180,4
A Fine Frenzy,21233,12
A Flock of Seagulls,646,2
A Forest Mighty Black,140,5
A Great Big World,109,1
A Guy Called Gerald,460,1
A Hawk and a Hacksaw,27,2
A Life Once Lost,146,5
A Perfect Circle,50383,19
A Place to Bury Strangers,6897,13
A Plea for Purging,207,3
A Silver Mt. Zion,1669,8
A Skylit Drive,11623,15
A Static Lullaby,42,1
A Sunny Day In Glasgow,1453,12
A Tribe Called Quest,3656,16
A Veil of Water,124,1
A Wilhelm Scream,58,1
A$AP Rocky,26,2
A.A. Bondy,1433,3
ABBA,4618,18
ABC,850,1
AC/DC,2354,12
ACIDMAN,37,1
AFI,56982,25
AFX,294,6
ALL CAPS,15,1
ASD,225,1
ASHES dIVIDE,1032,6
ASIAN KUNG-FU GENERATION,463,2
ASP,302,2
ATB,16015,21
Aaliyah,1157,3
Aaron,4,1
Aaron Tippin,1,1
Abe Vigoda,33,2
Abel Korzeniowski,18,2
Abfahrt Hinwil,9,1
Aborted,2088,24
Above & Beyond,419,6
Absu,275,3
Absurd Minds,246,2
Accept,560,7
Acceptance,667,3
Access to Arasaka,20,2
Acda en de Munnik,4,1
Ace Hood,4583,1
Ace of Base,12036,11
Achillea,35,1
Acid Bath,1673,13
Acid House Kings,7,1
Acid King,715,11
Across Five Aprils,387,2
Active Child,37,1
Active Sight,38,1
Actress,115,5
Adam Green,1108,4
Adam Lambert,8048,7
Adam Steffey,27,1
Add N To (X),97,1
Adele,1676,5
Adelitas Way,791,1
Adema,3135,18
Adiemus,300,1
Adolescents,1093,3
Adriana Calcanhotto,82,2
Aemen,165,2
Aereogramme,2925,4
Aeroc,907,1
Aerosmith,24157,36
Aes Dana,54,2
Aesop Rock,4228,7
Aesthetic Perfection,184,2
Afghan Whigs,469,1
Afrika Bambaataa,179,1
Afro Celt Sound System,426,2
Afrojack,480,1
Afromental,50,2
After Forever,2247,8
After the Burial,1088,4
Afterlife,350,1
Against All Authority,166,1
Against Me!,329,2
Agalloch,65,1
Agathodaimon,33,2
Agnelli & Nelson,18,1
Agnes,16,1
Agnes Obel,124,3
Agnieszka Chylińska,55,2
Agnostic Front,912,2
Agonoize,1895,8
Agoraphobic Nosebleed,993,5
Agoria,91,2
Aiden,770,3
Aimee Mann,6070,12
Air,50933,39
Air Formation,66,2
Air France,21732,6
Air Traffic,1549,6
Airbourne,12,1
Airiel,29,1
Aisha Duo,9,1
Akercocke,72,2
Akira Kiteshi,8,1
Akira Yamaoka,32,1
Akissforjersey,144,1
Akon,32312,5
Al Di Meola,1725,4
Al Green,82,2
Al Hirt,4,1
Al Stewart,78,1
Alabama Shakes,20,4
Alain Bashung,495,1
Alamo Race Track,444,1
Alan Jackson,7305,6
Alan Walker,24,1
Alanis Morissette,1515,10
Alannah Myles,1,1
Albert Ayler,4,1
Albert Collins,93,2
"Albert Hammond, Jr.",7425,6
Albert King,144,2
Alborosie,2853,3
Alcazar,278,2
Alceu Valença,153,1
Alec Empire,11,1
Alejandro Fernández,7,1
Alela Diane,2951,3
Alesana,15267,19
Alesha Dixon,6561,1
Alessia Cara,89,3
Alesso,6857,1
Alestorm,822,3
Alex Clare,71,2
Alex Gaudino,9272,2
Alex Gopher,1430,2
Alex Kozobolis,6,1
Alex Party,15,1
Alex Reece,373,2
Alex Smoke,136,2
"Alexander ""Skip"" Spence",25,1
Alexandra Burke,1890,2
Alexandre Desplat,1022,2
Alexi Murdoch,8277,4
Alexisonfire,12435,15
Ali Farka Touré,1712,5
Ali Farka Touré and Ry Cooder,226,1
Alice Coltrane,40,1
Alice Cooper,14861,4
Alice Deejay,912,1
Alice Russell,65,3
Alice in Chains,40551,34
Alice in Videoland,2099,8
Alicia Keys,34857,19
Alien Ant Farm,1041,4
Alien Sex Fiend,29,1
Alif Tree,162,1
Aliotta Haynes Jeremiah,14,1
Alison Krauss,20272,4
Alison Krauss & Union Station,3766,3
Alix Perez,177,2
Alizée,4600,6
Alkaline Trio,9036,22
All,21,1
All Shall Perish,7545,23
All That Remains,5708,10
All Time Low,23485,11
Allah-Las,6535,1
Alle Farben,678,1
Allie X,148,1
Allison Iraheta,857,1
Allister,1040,5
Aloe Blacc,105,1
Alpha,160,2
Alphabeat,256,2
Alphaville,23,3
Alphawezen,185,2
Alpine,4,1
Altan,73,1
Alter Bridge,18976,11
Alton Ellis,33,1
AlunaGeorge,15,1
Alvvays,169,1
Aly & AJ,9554,4
Amadou & Mariam,267,3
Amaia Montero,15,1
Amanda Blank,1309,1
Amanda Jenssen,5,1
Amanda Palmer,35,3
Amaranthe,495,5
Amatory,743,2
Amber Pacific,5298,7
Amberian Dawn,324,5
Ambulance Ltd,933,3
Amduscia,192,3
America,1866,4
American Football,546,3
American Head Charge,571,3
American Hi-Fi,3946,7
Amerie,167,2
Amesoeurs,273,8
Amethystium,69,5
Ametsub,33,1
Amiina,2163,9
Ammoncontact,37,1
Amon Amarth,18504,37
Amon Tobin,10595,38
Amorphis,10199,55
Amos Lee,51028,15
Amparanoia,1078,2
Amplifier,45,2
Amusement Parks On Fire,275,7
Amy Adams,1654,1
Amy Diamond,381,1
Amy Lambert,38,1
Amy Macdonald,1785,4
Amy Millan,511,3
Amy Winehouse,57222,13
An Albatross,31,3
Anaal Nathrakh,903,32
Anal Cunt,4,1
Ananda Shankar,120,1
Anarbor,2933,5
Anastacia,224,2
Anathema,5971,27
Anberlin,51218,25
Ancient Astronauts,143,1
And Also The Trees,8,1
And So I Watch You From Afar,9858,8
Anderson .Paak,19,1
Andhim,101,1
Andrea Bocelli,332,2
Andrea Doria,115,1
Andrew Bird,56014,18
Andrew Lloyd Webber,12,2
Andrew W.K.,1713,4
Andreya Triana,28,1
Androcell,32,1
Andru Donalds,542,3
Andrés Calamaro,1286,1
Andrés Segovia,88,1
Andy Kim,1056,1
Andy McKee,1727,3
Andy Williams,9,1
Ane Brun,1986,7
Angel Witch,434,2
Angela Lansbury,8,1
Angels & Agony,12,1
Angels & Airwaves,15791,10
Angelspit,707,8
Angelzoom,6430,1
Anggun,1011,1
