artist_name,num_songs,tempo,loudness,energy
!!!,3,115.03066666666666,-7.256666666666667,0.8276666666666667
"""Weird Al"" Yankovic",5,153.5152,-9.5588,0.7584
'Til Tuesday,1,105.228,-11.537,0.515
*NSYNC,7,139.96714285714285,-5.402285714285715,0.8104285714285714
+44,6,148.53166666666667,-6.024666666666666,0.7171666666666666
...And You Will Know Us by the Trail of Dead,28,131.381,-6.666857142857142,0.7578571428571428
.38 Special,1,130.955,-5.471,0.748
1 Giant Leap,1,92.487,-8.391,0.834
10 Ft. Ganja Plant,2,107.463,-6.239,0.704
10 Years,3,139.766,-5.808,0.7413333333333334
10cc,8,118.239875,-9.785874999999999,0.61475
112,1,98.003,-4.552,0.718
12 Stones,3,167.82133333333334,-4.431666666666667,0.9250000000000002
1200 Micrograms,16,142.072,-7.0881875,0.9100625
12th Planet,1,143.013,-6.78,0.658
1349,16,128.73575,-5.8535625,0.8833875
13th Floor Elevators,2,160.63,-7.482,0.6365000000000001
16 Horsepower,8,106.29374999999999,-7.558625,0.67575
16bit,1,139.864,-13.957,0.481
17 Hippies,1,113.09,-13.819,0.442
1990s,1,141.169,-4.244,0.732
2 Brothers on the 4th Floor,1,134.869,-12.217,0.715
2 Chainz,3,122.86533333333334,-4.908666666666666,0.6293333333333333
2 Foot Yard,1,110.038,-9.883,0.363
2 Live Crew,1,128.748,-9.359,0.805
2 Pistols,1,134.062,-6.191,0.747
2 Unlimited,1,124.838,-7.224,0.834
2002,7,91.69371428571428,-17.920142857142856,0.19815714285714287
21 Hertz,1,82.009,-15.91,0.293
21 Savage,2,137.0425,-7.804,0.5255
22-20s,3,112.57366666666667,-4.929666666666667,0.9003333333333333
2562,9,140.36777777777777,-8.851333333333333,0.685
2:54,1,97.536,-8.41,0.651
2NE1,2,179.065,-3.0164999999999997,0.6415
2PM,1,140.026,-7.646,0.932
2Pac,16,90.904,-4.5691875,0.795
2raumwohnung,8,130.7705,-7.6335,0.62925
3 Doors Down,23,130.13721739130435,-5.454695652173913,0.8217826086956521
3 Inches of Blood,3,111.46766666666667,-4.869,0.8986666666666666
