song_id,total_song_plays,unique_song_users,popular
TRAAAED128E0783FAB,315,161,False
TRAAAHD128F42635A5,2,2,False
TRAAAQO12903CD8E1C,1,1,False
TRAABJS128F9325C99,1831,945,True
TRAABXA128F9326351,37,18,False
TRAACCD128F422CDA8,1,1,False
TRAACER128F4290F96,88,49,False
TRAACIR128F42963AC,10,3,False
TRAACKM12903CE5BE9,124,67,False
TRAACPH12903CF5F14,1673,1295,True
TRAACZN128F93236B1,47,31,False
TRAACZR12903CDD291,6,6,False
TRAADBN128F932D00A,8,6,False
TRAADCQ128F932EC14,1712,667,True
TRAADLX128F1469250,18,5,False
TRAADNN128F42B1D94,70,21,False
TRAADQW128F427CE68,591,79,False
TRAADQX128F422B4CF,522,125,False
TRAADVO128E07999E9,940,469,True
TRAAERZ128F1496921,6,2,False
TRAAFGQ128F427D884,2848,1217,True
TRAAFOC128F4259332,6,2,False
TRAAFOY128F146CC17,3782,975,True
TRAAGCZ128F93210FD,20511,5302,True
TRAAGPJ128F428CD1B,446,160,False
TRAAGRA128F9309CC9,2,2,False
TRAAGSG128F92CFC6E,17,11,False
TRAAHBS128F429F76A,578,217,False
TRAAHDK128F423BB26,943,379,True
TRAAHSY128F147BB5C,626,292,False
TRAAIHF128F426FFA8,15,7,False
TRAAIQS128F9301078,113,78,False
TRAAIUW128F4290B94,606,174,False
TRAAJAC12903CEB847,24,6,False
TRAAJJW128F4298683,1778,642,True
TRAAJXX128F4239802,111,42,False
TRAAKDG128F42A0ECB,41301,16128,True
TRAAKFF128F42B69BD,1,1,False
TRAAKLQ12903CB0D25,88,59,False
TRAAKMS12903CDCF78,8,7,False
TRAAKRN128F92FF8D0,84,25,False
TRAAKSR128F93593F0,37,19,False
TRAALAH128E078234A,76893,26689,True
TRAAMAI128F426A0AD,183,94,False
TRAAMHN128F42956E6,31,18,False
TRAAMUZ128F9327055,16,7,False
TRAANRJ128F931D72D,2133,667,True
TRAANSZ128F425DD63,6901,2479,True
TRAAOGR128F425E7BF,111,53,False
TRAAOIH128F92F0679,37,10,False
TRAAOIN128F9303790,18,17,False
TRAAOTT128F14AE002,48,22,False
TRAAPCL128F930CB6C,17,9,False
TRAAPKN128F429CE4D,1002,302,True
TRAAQOU128F92D5955,22,10,False
TRAAQXO128F933E779,9,5,False
TRAAQYH128F92D5C30,103,47,False
TRAAREW12903CAEF29,70,26,False
TRAARQN128E07894DF,33,18,False
TRAARXB128F92FA0BF,2965,605,True
TRAARZE128F93264E9,126,83,False
TRAASCL12903CBF14F,3,1,False
TRAASED12903CEE1C5,109,36,False
TRAASQC128F93480F0,1148,622,True
TRAATIU128F4291A84,72,24,False
TRAATMF128F147921E,46,29,False
TRAATPA128F146753C,119,72,False
TRAAUEO128E0780CB9,2328,994,True
TRAAUFV128EF35F02C,16,9,False
TRAAUKD128F14613E4,640,197,False
TRAAVRU128F423EAE2,650,361,False
TRAAWJK128F145C9D9,36,10,False
TRAAWOJ128F9329EE3,44,19,False
TRAAWPB128F932A8DE,534,210,False
TRAAXAV128E0788BB9,704,335,False
TRAAXNW128F930B0C5,31,20,False
TRAAXOW128F931C2DC,926,619,True
TRAAXPX128F42AA93D,220,111,False
TRAAXWC128F935915F,10,9,False
TRAAXYY128EF33FF2C,72,42,False
TRAAXZC128F9360095,88,27,False
TRAAYBP128E0792605,500,272,False
TRAAYMR128F4240EC9,6,5,False
TRAAYRA128F92E9CC7,1,1,False
TRAAYTI128F933663B,6,5,False
TRAAYVI128F4286706,105,69,False
TRAAZPA128F9358504,17,3,False
TRAAZVF128F145BFED,5195,2007,True
TRABBFC128F42424F0,28,15,False
TRABBHI128F426260D,892,286,True
TRABBUM128EF34C0FF,43,24,False
TRABBVT12903CB4872,8,6,False
TRABBXV12903CA7C77,59,19,False
TRABCJP128F4228913,603,157,False
TRABCQH128F931525A,49,20,False
TRABCUQ128E0783E2B,741,317,False
TRABDAA12903CF45CB,27,10,False
TRABDEP128F428B3E3,818,258,False
TRABDKM128EF35788A,10,6,False
TRABDNJ128F425ACF9,9,5,False
TRABDPR128F9326104,1924,732,True
TRABDRC128F4282D08,1,1,False
TRABEIU128F4266CC2,363,119,False
TRABFDT12903CADD73,59810,17987,True
TRABFEL128F931FD79,695,390,False
TRABFPS12903CE5C27,1,1,False
TRABHAY128F423EFAF,32,22,False
TRABHTY12903CCE195,679,185,False
TRABHYO128F9307B76,855,434,True
TRABIBQ128F425A9E6,32,10,False
TRABIPA128F1458F79,68,28,False
TRABJBQ12903CDF3AA,8,5,False
TRABJEL128F930CE78,3,2,False
TRABJHF128F423A7D7,3,3,False
TRABJSS12903CA735D,436,204,False
TRABJWA128F9309C09,738,224,False
TRABJZT128F425C8DC,588,465,False
TRABKEH12903CE5BE9,853,333,True
TRABKOG128F427C466,1210,650,True
TRABKPC128F933232B,7,3,False
