song_id,name,artist_name,tags,genre,duration_ms,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
TRIOREW128F424EAF0,Mr. Brightside,The Killers,"rock, alternative, indie, alternative_rock, indie_rock, 00s",,222200,0.355,0.918,-4.36,1,0.0746,0.00119,0.0,0.0971,0.24,148.114
TRRIVDJ128F429B0E8,Wonderwall,Oasis,"rock, alternative, indie, pop, alternative_rock, british, 90s, love, britpop",,258613,0.409,0.892,-4.373,1,0.0336,0.000807,0.0,0.207,0.651,174.426
TROUVHL128F426C441,Come as You Are,Nirvana,"rock, alternative, alternative_rock, 90s, grunge",RnB,218920,0.508,0.826,-5.783,0,0.04,0.000175,0.000459,0.0878,0.543,120.012
TRUEIND128F93038C4,Take Me Out,Franz Ferdinand,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",,237026,0.279,0.664,-8.851,1,0.0371,0.000389,0.000655,0.133,0.49,104.56
TRLNZBD128F935E4D8,Creep,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",RnB,238640,0.515,0.43,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841
TRUMISQ128F9340BEE,Somebody Told Me,The Killers,"rock, alternative, indie, pop, alternative_rock, indie_rock",,198480,0.508,0.979,-4.289,0,0.0847,8.71e-05,0.000643,0.0641,0.704,138.03
TRVCCWR128F9304A30,Viva la Vida,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, britpop",,235384,0.588,0.806,-7.903,1,0.105,0.153,0.0,0.0634,0.52,137.973
TRXOGZT128F424AD74,Karma Police,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",,264066,0.36,0.505,-9.129,1,0.026,0.0626,9.22e-05,0.172,0.317,74.807
TRMZXEW128F9341FD5,The Scientist,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, piano, love, beautiful, 00s, britpop, mellow",Rock,311014,0.566,0.429,-7.826,1,0.0242,0.715,1.44e-05,0.12,0.173,146.365
TRUJIIV12903CA8848,Clocks,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, chillout, piano, britpop",,307879,0.577,0.749,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97
TRIODZU128E078F3E2,Under the Bridge,Red Hot Chili Peppers,"rock, alternative, alternative_rock, 90s, funk",Pop,265506,0.554,0.49,-8.046,1,0.0457,0.0168,0.000534,0.136,0.513,84.275
TRURKLR12903CEBD47,Seven Nation Army,The White Stripes,"rock, alternative, indie, alternative_rock, indie_rock",,232680,0.759,0.465,-7.602,0,0.0806,0.00662,0.288,0.257,0.305,124.049
TRYEZGE128F92D04C8,Feel Good Inc.,Gorillaz,"rock, electronic, alternative, indie, pop, alternative_rock, dance, british, hip_hop, trip_hop",RnB,223106,0.809,0.72,-7.776,1,0.136,0.0337,0.00141,0.826,0.832,138.556
TRUENYK128F4274057,Chop Suey!,System of a Down,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Metal,210480,0.42,0.925,-4.217,0,0.12,0.000363,0.002,0.1,0.322,127.422
TRXNTMB12903CA884A,Fix You,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, love, beautiful, britpop, mellow",,295826,0.213,0.416,-8.683,1,0.0336,0.164,0.00168,0.11,0.129,138.478
TRREXPI128E078EE14,Lithium,Nirvana,"rock, alternative, alternative_rock, 90s, grunge",,257053,0.678,0.656,-6.41,1,0.0381,0.00174,0.0,0.0631,0.485,123.207
TRAJBOD128F9303DCD,Song 2,Blur,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",,122080,0.676,0.723,-5.127,1,0.131,0.00227,0.0199,0.0897,0.779,129.7
TRFNTDZ128F426B34D,In the End,Linkin Park,"rock, alternative, metal, alternative_rock, nu_metal",,216933,0.542,0.853,-6.407,0,0.0498,0.0103,0.0,0.108,0.37,105.256
TRCSXPV128F425E2F7,Chasing Cars,Snow Patrol,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, love, beautiful, britpop, mellow",,265573,0.558,0.568,-5.731,1,0.0267,0.211,5e-05,0.104,0.125,104.0
TRDKPRZ128F92F37EA,Otherside,Red Hot Chili Peppers,"rock, alternative, alternative_rock, 90s, funk",,255400,0.459,0.795,-3.265,1,0.0575,0.00316,0.000202,0.0751,0.513,123.23
TRIQRZJ128F14898B4,When You Were Young,The Killers,"rock, alternative, indie, alternative_rock, indie_rock",,218053,0.466,0.981,-3.944,0,0.112,0.000124,0.0683,0.323,0.313,130.403
TRRPNNQ12903CB411A,Supermassive Black Hole,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",,209546,0.667,0.891,-5.126,1,0.0445,0.0397,0.00715,0.284,0.837,120.01
TRRSVFJ128F426FB31,Bohemian Rhapsody,Queen,"rock, classic_rock, hard_rock, 80s, british, 70s",,356086,0.405,0.405,-9.259,0,0.051,0.133,2.23e-06,0.259,0.228,141.173
TRWEHTV12903D086FC,Use Somebody,Kings of Leon,"rock, alternative, indie, alternative_rock, indie_rock",Electronic,230960,0.276,0.755,-5.406,1,0.046,0.00583,0.000543,0.183,0.194,137.149
TRLSLNY128F93265C9,Starlight,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british, beautiful, britpop",,243293,0.555,0.88,-3.888,0,0.0312,0.000212,0.000198,0.127,0.266,121.57
TRIQWYH128F1486062,Paranoid Android,Radiohead,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, progressive_rock, british, 90s, britpop",Jazz,384933,0.232,0.8,-6.863,1,0.0573,0.0523,0.00606,0.118,0.299,81.849
TRXZBFS128F92F24D2,Everlong,Foo Fighters,"rock, alternative, alternative_rock, hard_rock, 90s, grunge",,249986,0.415,0.867,-5.497,0,0.0387,5.69e-05,0.000192,0.0883,0.36,157.902
TRAGABG12903CEC68B,No Surprises,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop, mellow",,229120,0.255,0.393,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426
TRBBHPO128F930F55D,Iris,Goo Goo Dolls,"rock, alternative, pop, alternative_rock, soundtrack, 90s, love, beautiful",,289533,0.315,0.715,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925
TRXCXKA128F92E6258,Numb,Linkin Park,"rock, alternative, metal, alternative_rock, nu_metal",,185586,0.496,0.863,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018
TRLQLBZ128F42A70F4,Zombie,The Cranberries,"rock, alternative, female_vocalists, alternative_rock, 90s",,307400,0.311,0.664,-7.684,1,0.0357,0.0202,0.00419,0.374,0.265,166.821
TRJLKMS128F1494A77,Dani California,Red Hot Chili Peppers,"rock, alternative, alternative_rock, funk",,282160,0.556,0.913,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184
TRUOEWJ128F9345A85,Stairway to Heaven,Led Zeppelin,"rock, classic_rock, hard_rock, progressive_rock, 70s",Punk,488019,0.354,0.361,-12.722,0,0.0509,0.625,0.0112,0.35,0.212,80.36
TRJVKZX128F4236A44,Welcome to the Jungle,Guns N' Roses,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",,377386,0.272,0.91,-9.59,1,0.254,0.106,0.0229,0.523,0.154,130.139
TRUTNPC128F9300385,Clint Eastwood,Gorillaz,"rock, electronic, alternative, indie, pop, alternative_rock, british, rap, hip_hop, trip_hop, 00s",,337720,0.659,0.712,-7.602,0,0.173,0.0249,0.0,0.0801,0.556,167.948
TRCPUIV128E079280D,Paint It Black,The Rolling Stones,"rock, classic_rock, british, 60s",,202106,0.456,0.793,-9.17,0,0.098,0.0486,0.00205,0.376,0.615,158.787
TROIDPM12903CBDB4D,Reptilia,The Strokes,"rock, alternative, indie, alternative_rock, indie_rock, post_punk, 00s",,219826,0.488,0.65,-5.11,1,0.0336,0.000597,0.714,0.101,0.77,158.011
TRIPMMN12903CF4B8A,The Pretender,Foo Fighters,"rock, alternative, alternative_rock, hard_rock, grunge",,269320,0.433,0.958,-4.063,1,0.0433,0.000895,0.0,0.0237,0.359,172.969
TRIWYMW128F145E0F9,All These Things That I've Done,The Killers,"rock, alternative, indie, alternative_rock, indie_rock, 00s",,303213,0.548,0.751,-5.077,1,0.0418,0.00219,1.9e-05,0.142,0.219,118.267
TRAOMFT128F42A7684,Losing My Religion,R.E.M.,"rock, alternative, indie, pop, alternative_rock, classic_rock, 90s",Pop,288160,0.668,0.736,-10.753,0,0.0277,0.0115,0.000259,0.337,0.629,126.978
TRFOPON12903CDF30E,Paranoid,Black Sabbath,"rock, metal, classic_rock, hard_rock, heavy_metal, 70s",,166546,0.413,0.772,-8.626,0,0.0778,0.0017,0.233,0.232,0.492,163.073
TRXENSY128F4286505,Time Is Running Out,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",,236226,0.575,0.854,-5.748,0,0.0527,0.00246,0.00206,0.122,0.443,118.225
TRSXCET128F92EB269,I Kissed a Girl,Katy Perry,"rock, pop, female_vocalists, dance, pop_rock",,179640,0.699,0.76,-3.173,1,0.0677,0.00223,0.0,0.132,0.696,129.996
TRNNGMK128F423F034,Where Is My Mind?,Pixies,"rock, alternative, indie, alternative_rock, indie_rock, 80s, soundtrack",Rock,230093,0.514,0.435,-13.517,1,0.0353,0.0078,0.000859,0.0802,0.212,82.104
TRAALAH128E078234A,Bitter Sweet Symphony,The Verve,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, soundtrack, 90s, beautiful, britpop",,358333,0.383,0.907,-5.409,1,0.0405,0.0313,0.0,0.347,0.514,171.052
TRQFICK128F92F5190,Toxicity,System of a Down,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",,218933,0.413,0.873,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68
TRVRWFY128F4286EF9,Basket Case,Green Day,"rock, alternative, alternative_rock, punk, punk_rock, 90s",Rock,181533,0.442,0.943,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064
TRADPIA128E078EE1B,Heart-Shaped Box,Nirvana,"rock, alternative, alternative_rock, 90s, grunge",Rock,278520,0.609,0.842,-5.861,1,0.0342,0.0044,0.0116,0.353,0.459,115.158
TRFKBXC128F4243FFD,By the Way,Red Hot Chili Peppers,"rock, alternative, alternative_rock, funk",,216933,0.451,0.97,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444
TRCYMBL128F4289BC1,I Will Follow You Into The Dark,Death Cab for Cutie,"rock, alternative, indie, indie_rock, acoustic, emo, love, beautiful, mellow",,189186,0.517,0.206,-12.233,1,0.0421,0.924,0.0,0.118,0.489,80.401
TRIMWJA128F9309A68,Smile Like You Mean It,The Killers,"rock, alternative, indie, pop, alternative_rock, indie_rock",Rock,235480,0.369,0.981,-2.62,0,0.16,0.000391,0.0104,0.16,0.379,125.002
TRRISDV128F42A72DA,Hysteria,Muse,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",Rock,226760,0.411,0.914,-6.121,0,0.051,0.000462,0.00103,0.146,0.441,93.123
TRSFPEE128F429B0EE,In Bloom,Nirvana,"rock, alternative, alternative_rock, 90s, grunge",Punk,254760,0.433,0.744,-8.97,0,0.0449,9.84e-06,7.73e-05,0.29,0.595,157.18
TRXDGZZ128F92F9696,Love Will Tear Us Apart,Joy Division,"rock, alternative, indie, 80s, british, new_wave, post_punk, love",,190826,0.393,0.87,-8.149,1,0.073,0.00517,0.308,0.137,0.602,157.075
TRRSZKD128F933D41E,Don't Stop Believin',Journey,"rock, classic_rock, 80s",,249293,0.492,0.779,-7.73,1,0.04,0.263,0.0,0.447,0.476,119.242
TRFNNSW12903CDCD85,Someday,The Strokes,"rock, alternative, indie, alternative_rock, indie_rock, 00s",,183440,0.538,0.52,-7.46,1,0.0299,0.00425,0.0,0.367,0.678,106.031
TRCYFSS128F934406C,Don't Panic,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, soundtrack, beautiful, britpop, mellow, chill",,158426,0.62,0.6,-10.061,1,0.0493,0.0345,0.514,0.108,0.427,118.016
TREFXDG128F421F525,Boulevard of Broken Dreams,Green Day,"rock, alternative, alternative_rock, punk, punk_rock",,261266,0.49,0.679,-3.68,1,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046
TRAIOMW12903CB235C,Back in Black,AC/DC,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",,255493,0.31,0.7,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386
TRPFYYL128F92F7144,Float On,Modest Mouse,"rock, alternative, indie, alternative_rock, indie_rock, indie_pop, 00s",Rock,208466,0.646,0.893,-4.799,1,0.0301,0.0151,3.59e-06,0.0892,0.559,100.951
TRAAZQM128F93042E6,Bring Me to Life,Evanescence,"rock, alternative, female_vocalists, metal, alternative_rock, gothic_metal, gothic",,236333,0.332,0.93,-4.748,0,0.107,0.0107,3.84e-06,0.142,0.296,190.074
TRLPNCR128F4262D8E,Can't Stop,Red Hot Chili Peppers,"rock, alternative, alternative_rock, funk",Electronic,269000,0.618,0.938,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455
TRXZXTP12903CB667B,She Will Be Loved,Maroon 5,"rock, alternative, pop, alternative_rock, love, pop_rock",,256613,0.697,0.704,-4.969,0,0.0309,0.0659,0.0,0.128,0.52,102.024
TRFROHP128F9309571,Nothing Else Matters,Metallica,"rock, metal, hard_rock, heavy_metal, thrash_metal, 90s",Metal,388266,0.553,0.362,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352
TRDOMPC128F4236A4D,Paradise City,Guns N' Roses,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",,405666,0.267,0.977,-6.355,1,0.0896,0.00384,0.00634,0.171,0.471,99.766
TRUGANP12903CB2C46,Naïve,The Kooks,"rock, alternative, indie, indie_rock, british, britpop",Rock,203680,0.559,0.791,-6.966,0,0.0662,0.0668,0.0,0.23,0.716,103.38
TRFNTRW128F422C28C,Trouble,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, piano, beautiful, britpop, mellow",Rock,270666,0.558,0.511,-7.346,0,0.03,0.176,0.000952,0.151,0.184,139.858
TRFWGOJ128E0780C8B,In My Place,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, 00s, britpop, mellow",Rock,228346,0.423,0.566,-6.55,1,0.0272,0.0526,3.66e-06,0.196,0.218,144.688
TRRSJTI128F423D1C1,No One Knows,Queens of the Stone Age,"rock, alternative, alternative_rock, hard_rock, 00s",,255133,0.508,0.516,-6.996,1,0.0446,0.015,0.000988,0.0663,0.716,170.901
TRHMVGF128E078ED9B,Rape Me,Nirvana,"rock, alternative, alternative_rock, 90s, grunge",Rock,170000,0.417,0.739,-10.543,1,0.0466,0.0186,0.0,0.0638,0.255,111.928
TRUIVAV128F424A428,Polly,Nirvana,"rock, alternative, alternative_rock, 90s, acoustic, grunge",,196466,0.618,0.392,-11.941,1,0.0388,0.683,7.09e-05,0.905,0.437,115.075
TRUFXWT128F147928F,Hurt,Johnny Cash,"rock, classic_rock, folk, singer_songwriter, acoustic, country, beautiful, cover",,218586,0.521,0.304,-11.577,0,0.0276,0.803,0.00231,0.0929,0.184,90.819
TRCUKNC12903CA03A6,High and Dry,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, acoustic, beautiful, britpop",,257480,0.418,0.383,-11.782,1,0.0257,0.0718,0.0177,0.0896,0.352,87.773
TRCRCBT128F4260DD1,Such Great Heights,The Postal Service,"rock, electronic, alternative, indie, pop, indie_rock, indie_pop, love",,267466,0.649,0.814,-8.447,1,0.0469,0.00918,0.23,0.0672,0.199,174.979
TRSCMBY128F9311188,Mardy Bum,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",Rock,175426,0.634,0.599,-5.447,1,0.0365,0.0288,0.0,0.197,0.312,112.215
TRYFDIV128F42BAF81,Fake Plastic Trees,Radiohead,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, love, beautiful, britpop, mellow",Rock,290706,0.454,0.229,-12.592,1,0.0297,0.167,0.102,0.202,0.134,73.552
TRCSKKO128EF33DD14,Sweet Home Alabama,Lynyrd Skynyrd,"rock, classic_rock, 70s, blues_rock",Rock,283973,0.575,0.542,-14.544,1,0.0256,0.324,0.000783,0.0977,0.855,97.804
TRYJPIH128F4262602,This Love,Maroon 5,"rock, alternative, pop, alternative_rock, love, 00s, pop_rock",RnB,205786,0.714,0.862,-4.603,0,0.0363,0.0609,0.0,0.093,0.764,95.038
TREIGEZ12903CD2F22,Don't Look Back in Anger,Oasis,"rock, alternative, indie, alternative_rock, british, 90s, britpop",,287826,0.354,0.913,-3.584,1,0.0706,0.0255,4.11e-06,0.152,0.216,163.934
TRAAHSY128F147BB5C,Speed of Sound,Coldplay,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, piano, 00s, britpop, mellow",Rock,287906,0.523,0.898,-6.765,0,0.0567,0.00491,0.0345,0.0746,0.355,123.085
TRQEQMC128F4251B04,Break on Through (to the Other Side),The Doors,"rock, classic_rock, psychedelic, 60s, psychedelic_rock",,145866,0.421,0.751,-9.584,1,0.0472,0.202,0.0,0.17,0.789,89.839
TRJQVPN128F932BE9C,Here Without You,3 Doors Down,"rock, alternative, alternative_rock, love",,237080,0.552,0.541,-6.798,0,0.0247,0.049,0.0,0.189,0.202,144.011
TRJCDDQ128F429B0E4,Black Hole Sun,Soundgarden,"rock, alternative, alternative_rock, 90s, grunge",,271435,0.369,0.829,-3.974,1,0.0391,0.000199,0.000148,0.0761,0.139,105.414
TRPSVTL128F936017F,Sultans of Swing,Dire Straits,"rock, classic_rock, 80s, 70s, guitar",Rock,348812,0.736,0.815,-9.302,1,0.0304,0.0763,0.0799,0.27,0.921,148.152
TRDYCXM128F424421F,Another One Bites the Dust,Queen,"rock, classic_rock, hard_rock, 80s, british",,215345,0.935,0.526,-6.576,0,0.164,0.104,0.279,0.151,0.757,109.974
TRDKODA128F92FAF36,Learn to Fly,Foo Fighters,"rock, alternative, alternative_rock, 90s, grunge",,234800,0.439,0.931,-2.59,0,0.0473,1.92e-05,1.21e-05,0.193,0.527,135.944
TRDILER128F425B313,Kryptonite,3 Doors Down,"rock, alternative, alternative_rock, hard_rock",,235466,0.546,0.805,-7.142,0,0.0281,0.00636,2.01e-05,0.152,0.529,99.01
TRXCSBC128E07943A1,Radioactive,Imagine Dragons,"rock, alternative, indie, alternative_rock, indie_rock, american",,186653,0.471,0.765,-5.087,1,0.0616,0.133,1.78e-06,0.733,0.232,136.351
TRIQAMB128F4248D92,Are You Gonna Be My Girl,Jet,"rock, alternative, indie, alternative_rock, indie_rock",,213800,0.596,0.927,-5.751,1,0.0727,0.00137,0.000244,0.129,0.591,104.708
TRPITSC128F92E27C0,Wake Me Up When September Ends,Green Day,"rock, alternative, indie, alternative_rock, punk, punk_rock, american, 00s",,285653,0.546,0.814,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98
TRXNSKZ128F427F1FB,Last Nite,The Strokes,"rock, alternative, indie, alternative_rock, indie_rock, 00s",Rock,193373,0.624,0.899,-5.71,1,0.0295,0.0223,0.000155,0.0975,0.797,104.055
TRCSOOX128F423EDE7,All Apologies,Nirvana,"rock, alternative, alternative_rock, 90s, grunge",,229973,0.446,0.666,-11.386,1,0.0402,0.0533,2.1e-05,0.12,0.423,113.347
TRASRXK128F9311176,Fake Tales of San Francisco,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Rock,179946,0.453,0.772,-4.466,0,0.0464,0.0109,0.0,0.0392,0.702,127.148
TRRVVTK128F422BB5D,Don't Stop Me Now,Queen,"rock, classic_rock, 80s, british, 70s",Pop,268173,0.45,0.863,-11.825,1,0.194,0.0502,0.000241,0.689,0.23,159.335
TROCLWN128F92EB284,Fluorescent Adolescent,Arctic Monkeys,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",Pop,177534,0.647,0.818,-5.222,0,0.0291,0.00196,3.04e-05,0.177,0.813,112.109
TRWQINA128F9339E57,Buddy Holly,Weezer,"rock, alternative, indie, alternative_rock, indie_rock, 90s, american",Rock,159226,0.556,0.92,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138
TRXPXGP128F9319B6D,Island in the Sun,Weezer,"rock, alternative, indie, pop, alternative_rock, indie_rock, 90s, 00s, mellow, chill",,200066,0.654,0.802,-6.299,0,0.0289,0.00698,0.000915,0.177,0.692,114.637
TRRKQMW128F9312597,Banquet,Bloc Party,"rock, alternative, indie, alternative_rock, indie_rock, british, post_punk, britpop",Rock,198986,0.568,0.967,-3.804,0,0.0728,0.00163,0.00314,0.315,0.756,149.949
TRFOVTO128F4228CC3,Fortunate Son,Creedence Clearwater Revival,"rock, classic_rock, 60s",Rock,138052,0.631,0.761,-3.905,1,0.0381,0.0562,0.26,0.201,0.45,132.498
TRINBYX128E0788920,1979,The Smashing Pumpkins,"rock, alternative, indie, alternative_rock, 90s, grunge",Rock,267266,0.77,0.806,-9.414,1,0.0329,0.0153,0.614,0.0542,0.963,126.888
TRXCCHH128F429C0A9,Lonely Day,System of a Down,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Rock,167906,0.47,0.796,-3.277,0,0.0336,0.362,1.11e-06,0.133,0.215,113.108
TRUFSZX128F9325AAB,Every Breath You Take,The Police,"rock, pop, classic_rock, 80s, british, new_wave",,300706,0.515,0.788,-6.841,1,0.0367,0.37,0.0,0.323,0.476,118.326
TRYFESD128F424095C,How You Remind Me,Nickelback,"rock, alternative, alternative_rock, hard_rock",Rock,223826,0.44,0.763,-5.023,1,0.0337,0.00119,0.0,0.108,0.538,172.159
TRGAIDZ128F92EF7A1,Don't Speak,No Doubt,"rock, alternative, pop, female_vocalists, alternative_rock, 90s, love, pop_rock, ska",,263000,0.522,0.707,-7.113,0,0.0354,0.24,2.04e-05,0.156,0.572,76.05
TRRGJNU128F92F42BF,Light My Fire,The Doors,"rock, classic_rock, psychedelic, 60s, psychedelic_rock",Rock,412280,0.424,0.619,-10.116,0,0.0306,0.278,0.0,0.0585,0.523,130.514
TRCBZKH128F4277109,We Will Rock You,Queen,"rock, classic_rock, hard_rock, 80s, british, 70s",Rock,121706,0.69,0.44,-8.528,0,0.0768,0.654,0.0,0.538,0.494,81.234
TRCPPBY128F92F4290,Dream On,Aerosmith,"rock, classic_rock, hard_rock, 70s",,265093,0.412,0.528,-6.613,1,0.0259,0.298,5.03e-05,0.332,0.175,79.962
TRXIBFG128F42A4CFF,The Kids Aren't Alright,The Offspring,"rock, alternative, alternative_rock, punk, punk_rock, 90s",Rock,179946,0.512,0.945,-4.204,1,0.0347,0.006,3.25e-05,0.0581,0.812,99.552
TRVKVCD128F42803D8,Everything in Its Right Place,Radiohead,"rock, electronic, alternative, indie, alternative_rock, ambient, experimental, british, chillout",,249560,0.306,0.451,-11.407,0,0.0442,0.698,0.032,0.103,0.0625,123.957
TRXTJPE128F424981D,Boys Don't Cry,The Cure,"rock, alternative, indie, pop, alternative_rock, 80s, british, new_wave, post_punk",,161200,0.459,0.837,-5.98,0,0.0662,0.00444,0.0,0.111,0.639,169.434
TROPNWM128F1488325,Just Like Heaven,The Cure,"rock, alternative, pop, alternative_rock, 80s, british, new_wave, post_punk, love",,212853,0.445,0.975,-3.418,1,0.0482,0.019,7.66e-05,0.136,0.754,151.094
TRBRRRZ128F930AB47,One Step Closer,Linkin Park,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Rock,157333,0.492,0.969,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136
TRGDQFS128F933AD5C,Violet Hill,Coldplay,"rock, alternative, indie, pop, alternative_rock, british, 00s, britpop",Rock,221306,0.332,0.587,-7.905,0,0.0362,0.0571,0.00162,0.0864,0.109,76.051
TRCQJSC12903D00F96,Beautiful Day,U2,"rock, alternative, pop, classic_rock, pop_rock",,251506,0.533,0.737,-13.734,1,0.0416,0.0148,0.00402,0.334,0.5,136.178
TRXZHUK128F424B8BF,With or Without You,U2,"rock, alternative, pop, classic_rock, 80s, love",,298493,0.546,0.49,-9.318,1,0.0307,0.000122,0.268,0.0961,0.118,109.943
TRRGTOV128F425B9D1,I Hate Everything About You,Three Days Grace,"rock, alternative, metal, alternative_rock, hard_rock",,231320,0.481,0.798,-6.31,0,0.0388,0.005,0.0,0.153,0.474,89.344
TRRIGXH12903CB17E1,The Reason,Hoobastank,"rock, alternative, pop, alternative_rock, love, pop_rock",RnB,233173,0.464,0.585,-7.889,1,0.0283,0.00948,0.0,0.131,0.0716,82.852
TRCRWSN128F4236A4B,November Rain,Guns N' Roses,"rock, classic_rock, hard_rock, 80s, 90s",,536960,0.329,0.679,-8.219,1,0.0314,0.0259,0.315,0.123,0.272,80.029
TRCTRMZ128F92FD9E4,People Are Strange,The Doors,"rock, classic_rock, psychedelic, 60s, psychedelic_rock",,130280,0.679,0.472,-8.552,0,0.0422,0.675,0.0,0.29,0.769,119.665
TRRXNZP128F422157F,The Middle,Jimmy Eat World,"rock, alternative, indie, pop, alternative_rock, punk, indie_rock, punk_rock, emo",,166040,0.644,0.848,-5.385,1,0.0529,0.0358,0.0,0.0676,0.927,162.15
TRCTKZT128F421F258,Gimme Shelter,The Rolling Stones,"rock, classic_rock, british, 60s",,270853,0.631,0.632,-8.227,0,0.031,0.484,0.0316,0.121,0.492,118.649
